Current Epoch,Train MAE Loss,Val MAE Loss,Test MAE Loss,Train Pearson Corr,Val Pearson Corr,Test Pearson Corr
0,0.019767134,0.014637679,0.012068262,-0.015113238,-0.060765127,-0.021966852
1,0.012094881,0.00710257,0.007023257,0.004719194,-0.022865163,-0.01400463
2,0.00902676,0.008141693,0.005618773,0.021055794,0.051963694,0.015333471
3,0.008435193,0.005822214,0.003751897,0.006410309,0.244748339,0.071994324
4,0.008077059,0.007812676,0.005294957,-0.004541521,0.634130597,0.22681574
5,0.007933958,0.007042272,0.004536224,-0.009826988,0.703772217,0.26430224
6,0.007582619,0.00680339,0.00430177,0.015731344,0.669395953,0.238404002
7,0.007474094,0.008448,0.005923382,0.00069655,0.726792246,0.2858959
8,0.007281155,0.007771526,0.005257508,0.001862193,0.695486903,0.233660166
9,0.00715652,0.007627656,0.005118588,0.021884199,0.611514241,0.172866596
10,0.007199388,0.007315675,0.004814149,0.018178771,0.601338297,0.168885768
11,0.00714465,0.007292615,0.004799173,0.011761932,0.571500391,0.154353163
12,0.007048377,0.006348057,0.003885462,0.005841935,0.527297229,0.136915885
13,0.006909839,0.007037278,0.004591245,0.067074859,0.528041929,0.138326112
14,0.006775315,0.007186946,0.004774869,0.056138663,0.539960325,0.143509037
15,0.006735816,0.006149204,0.003892047,0.08569832,0.518934011,0.138778113
16,0.006559558,0.005403838,0.003502558,0.164439239,0.54677254,0.147848022
17,0.006504934,0.005801687,0.003896346,0.19699389,0.610179603,0.177279939
18,0.006162798,0.006478001,0.004771892,0.310651162,0.614757597,0.191198005
19,0.005928729,0.00554153,0.003948452,0.425885839,0.618592888,0.205757193
20,0.005810389,0.005584525,0.004201636,0.452375697,0.643495709,0.215065998
21,0.005662911,0.005514155,0.004128436,0.47322117,0.670027465,0.234208672
22,0.00547118,0.004059166,0.003020313,0.496569493,0.709133208,0.241042644
23,0.005477566,0.00469187,0.003639208,0.520643634,0.740070194,0.2656395
24,0.005182557,0.005050256,0.003859074,0.560863427,0.775239766,0.318852909
25,0.005001905,0.004020723,0.003045696,0.582829586,0.792262226,0.347051629
26,0.004946898,0.005460391,0.004645441,0.61033518,0.80025959,0.353895124
27,0.004821864,0.003293389,0.002569901,0.624940736,0.812604606,0.366044886
28,0.004980262,0.006639257,0.005825654,0.633872066,0.812570333,0.363000254
29,0.005030822,0.006958222,0.005825233,0.64204451,0.811141491,0.331711293
30,0.004844416,0.006582363,0.005678688,0.638141973,0.816100448,0.359583841
31,0.004816059,0.00572638,0.004788563,0.638192671,0.817700356,0.357631192
32,0.004570233,0.005675239,0.004848674,0.65606205,0.819779515,0.37487523
33,0.004542901,0.00474143,0.00406667,0.665079628,0.822101414,0.383455964
34,0.004361667,0.004803303,0.004148634,0.684011979,0.8257792,0.391537472
35,0.004421977,0.003093381,0.002518996,0.667706651,0.828120321,0.38964825
36,0.004347769,0.003570858,0.00303979,0.693757636,0.829521865,0.398573807
37,0.004281519,0.0033364,0.002825144,0.691290055,0.832759053,0.40784955
38,0.004268718,0.004434072,0.003774168,0.697614389,0.837634623,0.420422589
39,0.004248296,0.005454402,0.004621343,0.703178235,0.836828768,0.423915182
40,0.004138292,0.00403982,0.003367808,0.7174056,0.839882344,0.431724505
41,0.004144799,0.003029087,0.002571129,0.708059217,0.844106793,0.428616364
42,0.004139201,0.003209651,0.002829213,0.70442175,0.846717238,0.439978496
43,0.004028341,0.00306112,0.002638259,0.721660325,0.850574434,0.451020102
44,0.004007196,0.004037733,0.003641873,0.724633234,0.852903724,0.457269449
45,0.003906197,0.003525346,0.003104375,0.743595353,0.853803784,0.46219868
46,0.003787164,0.003561863,0.003124129,0.743890481,0.856388539,0.465855571
47,0.003832029,0.003646762,0.003321682,0.733811753,0.857712686,0.460970854
48,0.003744402,0.004395518,0.003702794,0.754954994,0.861185193,0.474824294
49,0.003723875,0.002952431,0.002621053,0.761422064,0.862448722,0.471795001
50,0.003675159,0.003730149,0.003162948,0.759471578,0.863873661,0.476550691
51,0.003647639,0.003683097,0.003305373,0.768680879,0.866209447,0.479427144
52,0.003694858,0.003184843,0.002916607,0.754544462,0.865196019,0.475955244
53,0.003650428,0.003764268,0.003109657,0.766475362,0.866437614,0.486938641
54,0.003543606,0.003320239,0.002981454,0.769743221,0.869323522,0.487196332
55,0.003556689,0.002902647,0.002511843,0.771912013,0.870747477,0.491126049
56,0.003519733,0.003238479,0.002851716,0.775403449,0.871285588,0.491018218
57,0.003579148,0.00266924,0.00220798,0.777654367,0.873278171,0.490823888
58,0.003441641,0.003672067,0.003162581,0.782051648,0.873145491,0.494845977
59,0.003466436,0.00268095,0.002359655,0.781286487,0.873532563,0.490574114
60,0.003459119,0.004046958,0.003376443,0.788984316,0.871925712,0.495655837
61,0.003437523,0.002508612,0.002189195,0.792031382,0.873909771,0.494772003
62,0.003402724,0.002698411,0.00236021,0.791362269,0.875698417,0.497721794
63,0.003296498,0.003632495,0.003213288,0.799988917,0.871985614,0.496971254
64,0.003337679,0.002381406,0.002044316,0.794293301,0.876509339,0.499406804
65,0.003278225,0.002893224,0.002427596,0.805769273,0.875321686,0.504834875
66,0.00320916,0.003027371,0.00270608,0.79927097,0.87705797,0.507139648
67,0.003286301,0.002467077,0.002080808,0.802147635,0.878247887,0.509819697
68,0.003147219,0.002784885,0.002442077,0.807691387,0.878087759,0.509545259
69,0.003109433,0.002759117,0.002325263,0.809561559,0.878445089,0.511338492
70,0.003109659,0.002699691,0.00236011,0.81176636,0.881070346,0.512202064
71,0.003086173,0.002547793,0.002219469,0.812599591,0.881158203,0.513743881
72,0.003059169,0.002332596,0.001919219,0.8153998,0.881416142,0.516071047
73,0.003024716,0.003048286,0.002605413,0.815957946,0.878987461,0.512440869
74,0.003056479,0.002406484,0.002096372,0.812426967,0.882299244,0.514791932
75,0.002999037,0.003138498,0.002483108,0.818585226,0.878130019,0.508225507
76,0.003048741,0.002198602,0.001855642,0.819715577,0.881186098,0.517486013
77,0.003004274,0.003093601,0.002574452,0.824099515,0.879537225,0.517774571
78,0.002997506,0.002489245,0.002039489,0.821772754,0.878718615,0.513037997
79,0.002973571,0.002325294,0.001910869,0.822431539,0.881916195,0.521209079
80,0.002901453,0.002502714,0.002109345,0.82751974,0.881471038,0.520769733
81,0.002972385,0.00218652,0.001838716,0.820685855,0.882420152,0.523410298
82,0.002956332,0.002660233,0.00227253,0.827362333,0.88049072,0.520615529
83,0.002857442,0.002791562,0.002426669,0.83265566,0.882671833,0.525619174
84,0.00284987,0.002272654,0.001942938,0.826455048,0.883401513,0.525687333
85,0.002840944,0.002445327,0.001952423,0.831073335,0.883122474,0.522221188
86,0.002821633,0.002601851,0.00227969,0.831224569,0.879903734,0.516429633
87,0.002843728,0.002613329,0.002124893,0.828295095,0.883320272,0.522098587
88,0.002820114,0.002296414,0.001866483,0.83307761,0.882204413,0.521240419
89,0.002746394,0.002549516,0.002115811,0.837235732,0.883048356,0.523702273
90,0.002724986,0.002162192,0.001829654,0.836885086,0.883648098,0.526097353
91,0.002747597,0.002591723,0.002158839,0.839265347,0.881821364,0.523225922
92,0.002720636,0.002813899,0.002332155,0.837644168,0.882324666,0.524503099
93,0.00273333,0.002216384,0.001885113,0.840743652,0.882424444,0.525965585
94,0.002635007,0.002326585,0.001929986,0.846687411,0.883697093,0.527356487
95,0.002680136,0.002345996,0.002067276,0.841588208,0.883743912,0.527559369
96,0.002628664,0.002484593,0.002065796,0.845828695,0.883667409,0.523887834
97,0.00260798,0.002328884,0.001971004,0.847143854,0.88467887,0.531743995
98,0.002628269,0.002470576,0.002084865,0.843388685,0.883422881,0.530935199
99,0.002610646,0.002089534,0.001723258,0.846233598,0.883983135,0.532357498
100,0.002618967,0.002654367,0.002156631,0.845865633,0.880607307,0.520898531
101,0.002598264,0.002317962,0.001964744,0.845098708,0.88484025,0.535171224
102,0.002598335,0.002125454,0.001769182,0.843030155,0.88459751,0.534412293
103,0.002537636,0.002563796,0.002000971,0.847816382,0.882075042,0.527959415
104,0.002567981,0.002195047,0.001850211,0.84735024,0.885303319,0.535966914
105,0.00252329,0.002200463,0.001888066,0.851449856,0.884511232,0.535453482
106,0.002575607,0.002266032,0.001911979,0.848423549,0.884520411,0.532419171
107,0.002532137,0.002467264,0.002028997,0.852462649,0.879755586,0.520007744
108,0.002554144,0.002315028,0.001916687,0.84594225,0.884108037,0.535303492
109,0.00249979,0.002179527,0.001788153,0.849072124,0.881357789,0.526728949
110,0.002541578,0.002366486,0.001911163,0.846516022,0.883477181,0.53248734
111,0.002449625,0.002161115,0.001753994,0.854413918,0.88212952,0.530357821
112,0.002460943,0.002108005,0.001762233,0.849543546,0.884619087,0.539075481
113,0.002488995,0.00218143,0.001740596,0.851713964,0.883020282,0.534332628
114,0.002445833,0.002374562,0.001912464,0.85579397,0.882560343,0.533746303
115,0.002434732,0.00233475,0.001913479,0.853349788,0.883715004,0.531064625
116,0.00238643,0.002274356,0.001800746,0.858914145,0.880256474,0.522941952
117,0.002419866,0.002237945,0.001844772,0.854703767,0.883999676,0.536903882
118,0.002380634,0.002112919,0.001724943,0.860308639,0.882024795,0.529473489
119,0.002369487,0.002069135,0.001707098,0.860164949,0.885330945,0.536466943
120,0.002371125,0.002235932,0.001751844,0.857071408,0.88253811,0.530529029
121,0.002412783,0.0022851,0.001856144,0.85559329,0.877087384,0.51096175
122,0.002380222,0.002137941,0.001739896,0.854988975,0.884703994,0.539185345
123,0.002385974,0.002067199,0.001691719,0.856233001,0.882708728,0.531947852
124,0.002362238,0.002097803,0.001687498,0.858107294,0.883341283,0.534388776
125,0.002317041,0.002296156,0.001779643,0.857428065,0.881981313,0.5326164
126,0.002316121,0.002104647,0.001708278,0.86111658,0.881439686,0.530569542
127,0.002322199,0.00199128,0.001618293,0.859038004,0.884742409,0.539762205
128,0.002308205,0.002001218,0.00162346,0.859859151,0.884138703,0.540846881
129,0.002325912,0.001996836,0.001628728,0.858461525,0.884319037,0.534228357
130,0.002262796,0.001979315,0.001613153,0.861811195,0.884019643,0.534467783
131,0.002256323,0.001981456,0.001603381,0.860877505,0.884521306,0.537241655
132,0.002279346,0.001948397,0.001540272,0.861478746,0.88113904,0.519971434
133,0.002241788,0.002015429,0.001626157,0.861790461,0.885199368,0.540065433
134,0.002272521,0.001974395,0.001587678,0.860016108,0.882107437,0.521507831
135,0.002229016,0.001969243,0.001592686,0.864896408,0.885449767,0.533737446
136,0.002260695,0.002052881,0.001619635,0.863411929,0.881504536,0.52451097
137,0.002257259,0.002058473,0.001607568,0.864445797,0.881707102,0.526198026
138,0.002251536,0.002083126,0.001617929,0.85905213,0.884181499,0.535732491
139,0.002230104,0.002067628,0.001614163,0.863965571,0.878585726,0.509629182
140,0.002214261,0.00193972,0.001552116,0.86411362,0.886675149,0.54221363
141,0.002223971,0.001936481,0.001543226,0.863458906,0.881981075,0.521542642
142,0.002180639,0.001946619,0.001534066,0.863174507,0.884762108,0.530833514
143,0.002174266,0.001960467,0.001549925,0.864652574,0.88226375,0.525051378
